text,label_name
"The next transmission could be more pronounced or stronger [SEP] Context: r, but warned the next outbreak would likely be stronger.  ""The next transmission could be more pronounced or stronger,"" WHO Director-General Tedros Adhanom Ghebreyesus told repo",Appeal_to_Authority
"when (the plague) comes again it starts from more stock, and the magnitude in the next transmission could be higher than the one that we saw [SEP] Context: oor sanitation and vector control on Madagascar meant that ""when (the plague) comes again it starts from more stock, and the magnitude in the next transmission could be higher than the one that we saw,"" Tedros said.  ""That means that Madagascar could be affect",Appeal_to_Authority
"appeared [SEP] Context: ganisation chief on Wednesday said a deadly plague epidemic appeared to have been brought under control in Madagascar, but warne",Doubt
"a very, very different [SEP] Context: t Tedros voiced alarm that ""plague in Madagascar behaved in a very, very different way this year.""  Cases sprang up far earlier than usual and",Repetition
"He also pointed to the presence of the pneumonic version, which spreads more easily and is more virulent, in the latest outbreak [SEP] Context: es, and Tedros said Wednesday the death toll stood at 207.  He also pointed to the presence of the pneumonic version, which spreads more easily and is more virulent, in the latest outbreak.  He praised the rapid response from WHO and Madagascar aut",Appeal_to_fear-prejudice
"but warned that the danger was not over [SEP] Context: r authorities that helped bring the outbreak under control, but warned that the danger was not over.  The larger-than-usual outbreak had helped spread the bact",Appeal_to_fear-prejudice
"the magnitude in the next transmission could be higher [SEP] Context: hen (the plague) comes again it starts from more stock, and the magnitude in the next transmission could be higher than the one that we saw,"" Tedros said.  ""That means that M",Appeal_to_fear-prejudice
"it could even spill over into neighbouring countries and beyond [SEP] Context: that Madagascar could be affected more, and not only that, it could even spill over into neighbouring countries and beyond,"" he warned.  Complicating vector control is the fact that",Appeal_to_fear-prejudice
Stop Islamization of America [SEP] Context: mela Geller and Robert Spencer co-founded anti-Muslim group Stop Islamization of America.  They were due to speak at an English Defence League march,Slogans
"We condemn all those whose behaviours and views run counter to our shared values [SEP] Context: good"" could be excluded by the home secretary.  He added: ""We condemn all those whose behaviours and views run counter to our shared values and will not stand for extremism in any form.""  'Right deci",Black-and-White_Fallacy
"Defeat Jihad"" [SEP] Context: an Freedom Defense Initiative, best known for a pro-Israel ""Defeat Jihad"" poster campaign on the New York subway. On both of their bl",Slogans
"the nation that gave the world the Magna Carta is dead"" [SEP] Context: ring the UK ""a striking blow against freedom"" and said the ""the nation that gave the world the Magna Carta is dead"".  They were due to attend a march planned by the far-right",Loaded_Language
"The UK should never become a stage for inflammatory speakers who promote hate."" [SEP] Context: ncer from entering the country. This is the right decision. The UK should never become a stage for inflammatory speakers who promote hate.""  EDL leader Tommy Robinson, meanwhile, criticised the decis",Flag-Waving
"hate preachers [SEP] Context: nd of democracy and freedom of speech,"" he said.  ""How many hate preachers are living in this country? It just shows what sort of a tw","Name_Calling,Labeling"
"delighted"" with the decision [SEP] Context: archer with the organisation, Matthew Collins, said it was ""delighted"" with the decision.  ""These two are among some of the most extreme anti-Muslim",Loaded_Language
"a striking blow against freedom [SEP] Context: heir blogs the pair called their bans from entering the UK ""a striking blow against freedom"" and said the ""the nation that gave the world the Magna Car",Loaded_Language
"so-called land of democracy and freedom of speech [SEP] Context: lace where Drummer Rigby died.  ""It's embarrassing for this so-called land of democracy and freedom of speech,"" he said.  ""How many hate preachers are living in this cou","Name_Calling,Labeling"
"hair trigger in single-action mode [SEP] Context: Gonzalez has argued that the weapon was a SIG Sauer with a ""hair trigger in single-action mode"" — a model well-known for accidental discharges even among",Loaded_Language
"sanctuary"" policy [SEP] Context: federal immigration authorities — which some refer to as a ""sanctuary"" policy — the city did not inform ICE when they released Garcia Zar","Name_Calling,Labeling"
